Island,Month,Year,Arrival_Type,Arrivals
HAWAI'I ISLAND,4,1990,Domestic,71662.94584469666
HAWAI'I ISLAND,4,1990,International,16898.8540826457
HAWAI'I ISLAND,4,1990,Total,88561.79992734236
HAWAI'I ISLAND,8,1990,Domestic,79558.55514726302
HAWAI'I ISLAND,8,1990,International,23867.40349533805
HAWAI'I ISLAND,8,1990,Total,103425.95864260106
HAWAI'I ISLAND,12,1990,Domestic,67746.96774301745
HAWAI'I ISLAND,12,1990,International,21666.45358211477
HAWAI'I ISLAND,12,1990,Total,89413.42132513222
HAWAI'I ISLAND,2,1990,Domestic,78890.97179753454
HAWAI'I ISLAND,2,1990,International,18075.927319627273
HAWAI'I ISLAND,2,1990,Total,96966.89911716181
HAWAI'I ISLAND,1,1990,Domestic,81830.39910341565
HAWAI'I ISLAND,1,1990,International,20547.826613875844
HAWAI'I ISLAND,1,1990,Total,102378.2257172915
HAWAI'I ISLAND,7,1990,Domestic,81775.57471203266
HAWAI'I ISLAND,7,1990,International,20503.725651729594
HAWAI'I ISLAND,7,1990,Total,102279.30036376225
HAWAI'I ISLAND,6,1990,Domestic,81125.55657183062
HAWAI'I ISLAND,6,1990,International,20587.941290842162
HAWAI'I ISLAND,6,1990,Total,101713.49786267278
HAWAI'I ISLAND,3,1990,Domestic,77904.07829315933
HAWAI'I ISLAND,3,1990,International,16085.435776000744
HAWAI'I ISLAND,3,1990,Total,93989.51406916007
HAWAI'I ISLAND,5,1990,Domestic,71705.87870727837
HAWAI'I ISLAND,5,1990,International,14158.8806063755
HAWAI'I ISLAND,5,1990,Total,85864.75931365388
HAWAI'I ISLAND,11,1990,Domestic,71311.83164933896
HAWAI'I ISLAND,11,1990,International,17986.18311399408
HAWAI'I ISLAND,11,1990,Total,89298.01476333303
HAWAI'I ISLAND,10,1990,Domestic,78826.4541281048
HAWAI'I ISLAND,10,1990,International,17037.82102309802
HAWAI'I ISLAND,10,1990,Total,95864.27515120282
HAWAI'I ISLAND,9,1990,Domestic,64871.06803457908
HAWAI'I ISLAND,9,1990,International,12746.45733987456
HAWAI'I ISLAND,9,1990,Total,77617.52537445365
HAWAI'I ISLAND,4,1991,Domestic,78078.00358064822
HAWAI'I ISLAND,4,1991,International,17771.19886547181
HAWAI'I ISLAND,4,1991,Total,95849.20244612003
HAWAI'I ISLAND,8,1991,Domestic,76550.50812206753
HAWAI'I ISLAND,8,1991,International,24864.58468475722
HAWAI'I ISLAND,8,1991,Total,101415.09280682476
HAWAI'I ISLAND,12,1991,Domestic,62793.558675654596
HAWAI'I ISLAND,12,1991,International,25606.594512301268
HAWAI'I ISLAND,12,1991,Total,88400.15318795586
HAWAI'I ISLAND,2,1991,Domestic,66472.92826021175
HAWAI'I ISLAND,2,1991,International,14099.899795454514
HAWAI'I ISLAND,2,1991,Total,80572.82805566626
HAWAI'I ISLAND,1,1991,Domestic,75574.5792245282
HAWAI'I ISLAND,1,1991,International,23787.552047874728
HAWAI'I ISLAND,1,1991,Total,99362.13127240294
HAWAI'I ISLAND,7,1991,Domestic,90427.41338516332
HAWAI'I ISLAND,7,1991,International,24585.33834539554
HAWAI'I ISLAND,7,1991,Total,115012.75173055887
HAWAI'I ISLAND,6,1991,Domestic,77034.86480781209
HAWAI'I ISLAND,6,1991,International,15016.69687291677
HAWAI'I ISLAND,6,1991,Total,92051.56168072886
HAWAI'I ISLAND,3,1991,Domestic,79349.82170412308
HAWAI'I ISLAND,3,1991,International,17625.23935222298
HAWAI'I ISLAND,3,1991,Total,96975.06105634607
HAWAI'I ISLAND,5,1991,Domestic,74376.85465613849
HAWAI'I ISLAND,5,1991,International,18335.402859513728
HAWAI'I ISLAND,5,1991,Total,92712.25751565222
HAWAI'I ISLAND,11,1991,Domestic,65987.42236682023
HAWAI'I ISLAND,11,1991,International,21001.807404092935
HAWAI'I ISLAND,11,1991,Total,86989.22977091317
HAWAI'I ISLAND,10,1991,Domestic,66932.88656975843
HAWAI'I ISLAND,10,1991,International,21479.421094390145
HAWAI'I ISLAND,10,1991,Total,88412.30766414857
HAWAI'I ISLAND,9,1991,Domestic,54816.339261462395
HAWAI'I ISLAND,9,1991,International,18466.04883171661
HAWAI'I ISLAND,9,1991,Total,73282.388093179
HAWAI'I ISLAND,4,1992,Domestic,70183.04165842016
HAWAI'I ISLAND,4,1992,International,18672.08249692529
HAWAI'I ISLAND,4,1992,Total,88855.12415534545
HAWAI'I ISLAND,8,1992,Domestic,70850.43595479341
HAWAI'I ISLAND,8,1992,International,19482.203592273145
HAWAI'I ISLAND,8,1992,Total,90332.63954706656
HAWAI'I ISLAND,12,1992,Domestic,74862.73048723093
HAWAI'I ISLAND,12,1992,International,29765.42568044522
HAWAI'I ISLAND,12,1992,Total,104628.15616767615
HAWAI'I ISLAND,2,1992,Domestic,59034.00302790512
HAWAI'I ISLAND,2,1992,International,20288.529761104495
HAWAI'I ISLAND,2,1992,Total,79322.53278900962
HAWAI'I ISLAND,1,1992,Domestic,71291.61657497569
HAWAI'I ISLAND,1,1992,International,22841.116053203932
HAWAI'I ISLAND,1,1992,Total,94132.73262817963
HAWAI'I ISLAND,7,1992,Domestic,74329.90231852066
HAWAI'I ISLAND,7,1992,International,23878.266130913365
HAWAI'I ISLAND,7,1992,Total,98208.16844943403
HAWAI'I ISLAND,6,1992,Domestic,71261.47291764738
HAWAI'I ISLAND,6,1992,International,26873.62714269949
HAWAI'I ISLAND,6,1992,Total,98135.10006034687
HAWAI'I ISLAND,3,1992,Domestic,70952.43458296239
HAWAI'I ISLAND,3,1992,International,18846.488988695626
HAWAI'I ISLAND,3,1992,Total,89798.92357165802
HAWAI'I ISLAND,5,1992,Domestic,62486.659033590244
HAWAI'I ISLAND,5,1992,International,23943.977445176417
HAWAI'I ISLAND,5,1992,Total,86430.63647876665
HAWAI'I ISLAND,11,1992,Domestic,87481.04485963969
HAWAI'I ISLAND,11,1992,International,21484.321594620254
HAWAI'I ISLAND,11,1992,Total,108965.36645425994
HAWAI'I ISLAND,10,1992,Domestic,94004.92775417103
HAWAI'I ISLAND,10,1992,International,21364.455793686986
HAWAI'I ISLAND,10,1992,Total,115369.38354785801
HAWAI'I ISLAND,9,1992,Domestic,67977.9329381694
HAWAI'I ISLAND,9,1992,International,17821.626362036888
HAWAI'I ISLAND,9,1992,Total,85799.55930020628
HAWAI'I ISLAND,4,1993,Domestic,70160.45841554369
HAWAI'I ISLAND,4,1993,International,22000.58626291046
HAWAI'I ISLAND,4,1993,Total,92161.04467845414
HAWAI'I ISLAND,8,1993,Domestic,73542.695480331
HAWAI'I ISLAND,8,1993,International,21754.669427689274
HAWAI'I ISLAND,8,1993,Total,95297.36490802027
HAWAI'I ISLAND,12,1993,Domestic,60625.583895767326
HAWAI'I ISLAND,12,1993,International,18782.091086383876
HAWAI'I ISLAND,12,1993,Total,79407.6749821512
HAWAI'I ISLAND,2,1993,Domestic,73013.69765424906
HAWAI'I ISLAND,2,1993,International,22246.42985624865
