VALUE,COUNT
419,7054012
420,7692047
421,7076879
422,6741353
423,6583447
424,6660249
425,6539429
426,6683969
427,6905007
428,6730954
429,6640671
430,7137010
431,6696470
432,6731646
433,7091945
434,6922852
435,6506320
436,6497156
437,6343189
438,6443018
439,6713091
440,7010264
441,7116762
442,6796592
443,6358879
444,6545268
445,6561001
446,6358289
447,6392732
448,6341095
449,6307511
450,6756425
451,6412500
452,6198299
453,6023957
454,5862515
455,5945656
456,6047873
457,6500717
458,6310080
459,6331889
460,6634122
461,6222230
462,6071018
463,5830894
464,6107870
465,6099607
466,5755516
467,5880761
468,5726146
469,5684527
470,6082928
471,5721848
472,5729138
473,5617190
474,5317796
475,5250086
476,5506025
477,5280075
478,5219479
479,5590634
480,6231357
481,5360609
482,5362792
483,5052890
484,4945249
485,5177506
486,4914316
487,5208668
488,5552391
489,5163412
490,5636884
491,6041035
492,4902596
493,4954381
494,5160912
495,4997418
496,4823739
497,5033550
498,4691306
499,4745894
500,5469385
501,4707241
502,4546033
503,4596886
504,4246800
505,4218058
506,4395276
507,4229333
508,4152844
509,4316558
510,4328112
511,4193544
512,4345156
513,4207038
514,4006133
515,4220451
516,4099944
517,3974491
518,4190097
519,4236881
520,4456111
521,4052434
522,4051378
523,4000626
524,4112851
525,4258545
526,4002806
527,3995328
528,4146535
529,3925180
530,4086502
531,4284221
532,3986019
533,4040283
534,4557466
535,4002302
536,4082005
537,4429836
538,4046280
539,3997425
540,4593522
541,3968586
542,3933943
543,4280919
544,3885733
545,3885186
546,4178712
547,3846511
548,3912198
549,4462078
550,4051293
551,3792943
552,4002395
553,3683237
554,3709302
555,4113224
556,3861999
557,3704333
558,3944913
559,3734834
560,4074923
561,5190719
562,4252925
563,3812164
564,4197484
565,3817885
566,3718729
567,4100533
568,3884929
569,3652376
570,3998119
571,3889155
572,3841287
573,4048929
574,3930042
575,3652242
576,3838699
577,3828401
578,3791973
579,4667316
580,4588810
581,3732302
582,3830059
583,3902575
584,3693634
585,3948837
586,4420804
587,3847577
588,3759842
589,3945787
590,3644532
591,3800530
592,4083134
593,3779030
594,4167614
595,4018577
596,3568608
597,3655122
598,4062766
599,3636737
600,3995635
601,4056420
602,3546237
603,3491122
604,3845551
605,3418586
606,3398908
607,3696585
608,3523970
609,3849714
610,3943218
611,3445595
612,3284034
613,3522650
614,3218698
615,3227208
616,3601381
617,3361763
618,3189501
619,3456900
620,3514090
621,3221308
622,3601065
623,3379215
624,3319396
625,3452154
626,3597544
627,3123613
628,3439363
629,3288738
630,3157091
631,3316544
632,3218858
633,3125136
634,3435842
635,3401301
636,3123124
637,3270698
638,3217868
639,3108132
640,3633822
641,3479823
642,3136127
643,3207033
644,3310257
645,3090445
646,3322636
647,3557843
648,3243274
649,3376296
650,3340559
651,3089911
652,3204869
653,3430965
654,3114476
655,3141432
656,3279698
657,3096853
658,3190376
659,3541608
660,3471154
661,3142721
662,3265326
663,3039748
664,3132870
665,3401144
666,3147135
667,3021752
668,3166951
669,3020394
670,3159838
671,3439930
672,3171566
673,3005208
674,3088370
675,2982937
676,3020305
677,3309294
678,3167967
679,3061427
680,3359977
681,3034478
682,3008179
683,3402526
684,3300178
685,4104651
686,3222247
687,3113771
688,3027362
689,3289800
690,3349148
691,3074279
692,3129173
693,3207270
694,3146240
695,3342082
696,3397591
697,3080085
698,3116753
699,3176280
700,3285126
701,3303062
702,3418384
703,3055925
704,3050960
705,3130108
706,3023395
707,3234357
708,3516972
709,3193344
710,3155568
711,3200939
712,2971025
713,3056787
714,3398966
715,3090230
716,3136396
717,3279465
718,3021456
719,3137063
720,3687835
721,3199368
722,3080775
723,3217780
724,3122552
725,3065976
726,3310547
727,3095794
728,2934743
729,3066549
730,3100119
731,3171803
732,3477388
733,3155984
734,2941805
735,3043896
736,2956148
737,2957952
738,3253818
739,3234266
740,3321803
741,3046912
742,2946154
743,2926166
744,3326354
745,3215552
746,3089568
747,3074608
748,2939615
749,2897156
750,3171519
751,3241123
752,2889433
753,2959191
754,2992686
755,2996018
756,3162534
757,3204290
758,2916061
759,2952797
760,3179658
761,2961010
762,3120364
763,3263729
764,2932884
765,2918712
766,2962279
767,2882146
768,3093813
769,3278024
770,3060032
771,2920144
772,2900844
773,2776898
774,2899305
775,3140851
776,2912820
777,2887832
778,3010566
779,2884027
780,3210718
781,3277838
782,3002124
783,2873529
784,2988658
785,2867290
786,2893352
787,3153651
788,2921981
789,2786801
790,2913039
791,2801671
792,2866803
793,3241340
794,3040925
795,2829843
796,2903079
797,2787002
798,2810197
799,3160691
800,3284207
801,2852369
802,2876228
803,2778979
804,2802912
805,3161182
806,3073980
807,2868066
808,2936251
809,2849048
810,2885599
811,3147828
812,3128393
813,2907265
814,2942069
815,2928380
816,2940892
817,3209427
818,3250907
819,3015143
820,3296911
821,3000971
822,2947643
823,3178175
824,3258812
825,2968033
826,2982745
827,2988760
828,2874138
829,3108481
830,3310423
831,2971823
832,2854207
833,2875094
834,2756786
835,2926709
836,3129048
837,2854410
838,2794137
839,2988869
840,3195418
841,2966746
842,3330428
843,2912009
844,2788629
845,2883881
846,2763570
847,2824076
848,3149836
849,2844155
850,2722632
851,2812292
852,2747143
853,2853903
854,3254221
855,3026548
856,2758930
857,2824537
858,2740373
859,2810142
860,3493628
861,2951906
862,2801320
863,2822475
864,2734099
865,2780518
866,3184422
867,3080734
868,2801312
869,2882023
870,2813061
871,2736791
872,3018280
873,2889616
874,2693410
875,2766287
876,2791375
877,2882400
878,3154351
879,3157414
880,3381150
881,3329373
882,2843108
883,2823447
884,3076668
885,3095974
886,2781434
887,2698412
888,2680217
889,2672850
890,2948139
891,3081455
892,2839179
893,2747046
894,2677054
895,2620082
896,2788154
897,2945057
898,2720406
899,2736259
900,3337641
901,2736350
902,2844124
903,3072261
904,2790368
905,2668783
906,2738104
907,2706694
908,2839228
909,2985676
910,2827232
911,2626418
912,2667916
913,2634133
914,2793294
915,3179299
916,2841505
917,2646775
918,2649089
919,2610266
920,3092778
921,2909473
922,2753900
923,2684234
924,2617427
925,2577368
926,2636579
927,2933432
928,2833253
929,2651137
930,2741047
931,2655008
932,2606925
933,2806429
934,2769313
935,2569183
936,2601502
937,2633767
938,2709546
939,2923059
940,3274469
941,2609080
942,2559938
943,2542354
944,2501428
945,2698689
946,2712586
947,2478419
948,2452821
949,2497009
950,2498986
951,2634395
952,2784637
953,2565369
954,2472560
955,2460918
956,2370923
957,2481420
958,2612183
959,2445699
960,2760179
961,2495128
962,2414710
963,2472186
964,2659926
965,2481461
966,2396942
967,2428171
968,2386281
969,2411548
970,2633033
971,2445117
972,2374175
973,2400460
974,2362060
975,2488530
976,2738972
977,2527415
978,2416747
979,2425253
980,2675407
981,2359879
982,2551994
983,2436381
984,2280193
985,2320843
986,2250564
987,2308580
988,2516533
989,2430032
990,2338909
991,2360649
992,2258145
993,2218772
994,2399684
995,2361704
996,2234596
997,2284873
998,2391704
999,2364912
1000,2842395
1001,2517549
1002,2303086
1003,2298669
1004,2250666
1005,2225857
1006,2420167
1007,2416349
1008,2238621
1009,2303727
1010,2355137
1011,2303145
1012,2512503
1013,2586763
1014,2339142
1015,2312550
1016,2305188
1017,2207577
1018,2333904
1019,2492806
1020,2567710
1021,2300661
1022,2331401
1023,2219215
1024,2317675
1025,2519798
1026,2299798
1027,2240569
1028,2285911
1029,2188152
1030,2286942
1031,2471548
1032,2191204
1033,2134791
1034,2204537
1035,2140186
1036,2218868
1037,2442711
1038,2248572
1039,2210188
1040,2559716
1041,2152830
1042,2142701
1043,2330974
1044,2182290
1045,2128249
1046,2192506
1047,2119444
1048,2141699
1049,2357391
1050,2285366
1051,2137893
1052,2188140
1053,2106436
1054,2118563
1055,2293002
1056,2212552
1057,2094345
1058,2148897
1059,2130947
1060,2552223
1061,2346987
1062,2292440
1063,2144102
1064,2163118
1065,2101936
1066,2054408
1067,2182552
1068,2159142
1069,2030397
1070,2076237
1071,2061470
1072,2040325
1073,2197431
1074,2234840
1075,2079106
1076,2054204
1077,2020314
1078,1970132
1079,2106010
1080,2561890
1081,2014472
1082,2005298
1083,2018717
1084,1995051
1085,2127215
1086,2369384
1087,2066133
1088,2026033
1089,2052874
1090,1978042
1091,2019501
1092,2144279
1093,1993787
1094,1968772
1095,2027796
1096,1979012
1097,2067656
1098,2204930
1099,2093737
1100,2382983
1101,2295605
1102,2093341
1103,2037581
1104,2192681
1105,2152317
1106,2051160
1107,2072034
1108,2005035
1109,2052154
1110,2242082
1111,2127376
1112,2031131
1113,2045930
1114,1977123
1115,1975119
1116,2087091
1117,2035660
1118,1969038
1119,2049855
1120,2370949
1121,2057058
1122,2155158
1123,2145026
1124,2036105
1125,2023045
1126,1977908
1127,1966575
1128,2071654
1129,2275177
1130,2007308
1131,2004486
1132,1976347
1133,1984500
1134,2109579
1135,2160133
1136,2066502
1137,2017114
1138,1993231
1139,1999275
1140,2440479
1141,2118153
1142,2034342
1143,2031354
1144,2052324
1145,2013078
1146,2125848
1147,2248122
1148,2124727
1149,2100709
1150,2158378
1151,2084773
1152,2116025
1153,2217133
1154,2133545
1155,2076947
1156,2179634
1157,2438271
1158,2332458
1159,2383018
1160,2556782
1161,2123046
1162,2098491
1163,2086261
1164,2084735
1165,2225498
1166,2124756
1167,2048798
1168,2074146
1169,2077559
1170,2168081
1171,2331007
1172,2260271
1173,2244919
1174,2343674
1175,2224756
1176,2403774
1177,2538640
1178,2372748
1179,2356929
1180,3356621
1181,2549397
1182,2537359
1183,2585728
1184,2596779
1185,2419844
1186,2488162
1187,2428000
1188,2390503
1189,2711134
1190,3571950
1191,2794796
1192,2506696
1193,2585191
1194,2407087
1195,2630807
1196,2610805
1197,2611519
1198,2445132
1199,2548558
1200,3061290
1201,2540192
1202,2560164
1203,2422000
1204,2342010
1205,2401504
1206,2286351
1207,2639477
1208,2668737
1209,2509865
1210,2780750
1211,2468013
1212,2286588
1213,2388352
1214,2572168
1215,2375168
1216,2609140
1217,2566591
1218,2439687
1219,2725974
1220,4116369
1221,2690901
1222,2509396
1223,2550041
1224,2332430
1225,2367733
1226,2560477
1227,2409657
1228,2360862
1229,2543123
1230,3007091
1231,2494405
1232,2679362
1233,2473285
1234,2342894
1235,2379994
1236,2280414
1237,2324202
1238,2502629
1239,2509023
1240,3100489
1241,2401327
1242,2358861
1243,2432357
1244,2682048
1245,2618416
1246,2524550
1247,2417703
1248,2299493
1249,2336857
1250,3216661
1251,2664054
1252,2510388
1253,2417771
1254,2526953
1255,2489364
1256,2714319
1257,2894684
1258,2695689
1259,2656165
1260,3471978
1261,2765021
1262,2831785
1263,2912996
1264,2702770
1265,2715827
1266,2761318
1267,2670665
1268,2657560
1269,2903723
1270,2744508
1271,2585372
1272,2557170
1273,2432667
1274,2493857
1275,2727314
1276,2485700
1277,2497910
1278,3685894
1279,4814337
1280,3978095
1281,3708297
1282,3447386
1283,3201443
1284,3128106
1285,3140353
1286,5182506
1287,4275372
1288,3044806
1289,3225730
1290,3402593
1291,2914722
1292,3002422
1293,3330131
1294,3027619
1295,2940240
1296,3024667
1297,2852573
1298,3047372
1299,3231379
1300,3438211
1301,2835295
1302,2769133
1303,2656765
1304,2672040
1305,2941584
1306,2838718
1307,2618275
1308,2615786
1309,2598001
1310,2660251
1311,2825377
1312,2890927
1313,2700540
1314,2699521
1315,2880373
1316,2838273
1317,3052483
1318,3185941
1319,2848193
1320,3230824
1321,2777175
1322,2564680
1323,2707392
1324,2854079
1325,2556066
1326,2548170
1327,2656252
1328,2777214
1329,2685684
1330,3028386
1331,2641351
1332,2549253
1333,2604432
1334,2472126
1335,2568438
1336,2815172
1337,2587108
1338,2540106
1339,2669170
1340,3031976
1341,2673515
1342,2964718
1343,2662716
1344,2571353
1345,2655108
1346,2493470
1347,2533921
1348,2827543
1349,2596120
1350,2610117
1351,2630796
1352,2510907
1353,2588097
1354,2925597
1355,2724824
1356,2646769
1357,2613867
1358,2512868
1359,2556837
1360,3287800
1361,2720334
1362,2535005
1363,2601976
1364,2696605
1365,2732820
1366,2933722
1367,3313514
1368,2649124
1369,2581671
1370,2647911
1371,2479865
1372,2791428
1373,2732434
1374,2505844
1375,2506751
1376,2566035
1377,2657988
1378,2829016
1379,3071623
1380,3793482
1381,2604968
1382,2587528
1383,2495355
1384,2635621
1385,2832237
1386,2580394
1387,2551825
1388,2713691
1389,2668324
1390,2862180
1391,3065140
1392,2742208
1393,2639731
1394,2677551
1395,2515526
1396,2626086
1397,2888376
1398,2603484
1399,2579381
1400,3261503
1401,2556352
1402,2636442
1403,2931748
1404,2632092
1405,2508315
1406,2554276
1407,2443869
1408,2475510
1409,2716798
1410,2599635
1411,2429713
1412,2480920
1413,2495790
1414,2514459
1415,2860642
1416,2672809
1417,2526889
1418,2556209
1419,2501672
1420,2957097
1421,2714791
1422,2564653
1423,2387699
1424,2426899
1425,2426792
1426,2472568
1427,2806271
1428,2720269
1429,2499088
1430,2525426
1431,2425358
1432,2373847
1433,2597888
1434,3013420
1435,2444563
1436,2510370
1437,2570493
1438,2519333
1439,2798775
1440,3453585
1441,2610910
1442,2520256
1443,2545228
1444,2418945
1445,2565672
1446,2760924
1447,2471387
1448,2452267
1449,2515152
1450,2489930
1451,2603486
1452,2936767
1453,2567101
1454,2462862
1455,2541119
1456,2389535
1457,2497144
1458,2873723
1459,2587478
1460,3080945
1461,2837466
1462,2543883
1463,2641060
1464,3002750
1465,2589725
1466,2477375
1467,2518899
1468,2340891
1469,2426238
1470,2783865
1471,2459300
1472,2363694
1473,2589561
1474,2363950
1475,2463303
1476,2862936
1477,2621084
1478,2445295
1479,2495924
1480,2754315
1481,2359081
1482,2628448
1483,2460483
1484,2301692
1485,2373293
1486,2340928
1487,2375077
1488,2753730
1489,2664552
1490,2442135
1491,2411280
1492,2360114
1493,2329706
1494,2501578
1495,2546925
1496,2316969
1497,2332918
1498,2398606
1499,2412223
1500,2972378
1501,2763849
1502,2405387
1503,2331420
1504,2335262
1505,2232215
1506,2374071
1507,2548480
1508,2282597
1509,2246625
1510,2339200
1511,2279135
1512,2442598
1513,2736810
1514,2394705
1515,2285561
1516,2318305
1517,2197421
1518,2296548
1519,2604240
1520,2687322
1521,2251752
1522,2305187
1523,2235394
1524,2361016
1525,2697485
1526,2398577
1527,2282358
1528,2276149
1529,2162564
1530,2232224
1531,2499236
1532,2278532
1533,2169783
1534,2269688
1535,2196963
1536,2288979
1537,2683893
1538,2453616
1539,2296000
1540,2566287
1541,2181766
1542,2193928
1543,2453279
1544,2289997
1545,2157416
1546,2189568
1547,2163741
1548,2233313
1549,2566112
1550,2480762
1551,2257926
1552,2233233
1553,2159448
1554,2120804
1555,2364444
1556,2305214
1557,2134999
1558,2258123
1559,2197880
1560,2456419
1561,2479119
1562,2565365
1563,2273990
1564,2188724
1565,2182728
1566,2125246
1567,2259145
1568,2383878
1569,2146204
1570,2106354
1571,2166531
1572,2164893
1573,2335119
1574,2580907
1575,2283327
1576,2169682
1577,2164839
1578,2076426
1579,2184365
1580,2659721
1581,2180985
1582,2146756
1583,2162979
1584,2128315
1585,2266571
1586,2589060
1587,2300644
1588,2167520
1589,2164164
1590,2072321
1591,2115306
1592,2373183
1593,2175590
1594,2074218
1595,2119373
1596,2083645
1597,2219691
1598,2586335
1599,2359673
1600,2371287
1601,2161655
1602,2063120
1603,2070088
1604,2318057
1605,2197060
1606,2048700
1607,2080942
1608,2061548
1609,2126643
1610,2459572
1611,2399080
1612,2228309
1613,2193531
1614,2091352
1615,2094138
1616,2350138
1617,2250976
1618,2086956
1619,2085734
1620,2242369
1621,2128133
1622,2365692
1623,2439552
1624,2161117
1625,2067696
1626,2058032
1627,1986645
1628,2128108
1629,2272695
1630,2016762
1631,1994440
1632,2038888
1633,2023264
1634,2226071
1635,2439061
1636,2131126
1637,2020983
1638,2040670
1639,1944971
1640,2128293
1641,2239254
1642,1984748
1643,1918832
1644,1966386
1645,1963395
1646,2110165
1647,2369433
1648,2120189
1649,1987036
1650,1988567
1651,1911317
1652,1983441
1653,2200398
1654,2001602
1655,1905241
1656,1965889
1657,1946277
1658,2054318
1659,2366522
